input position,input joint,output joint
"(-1.22, -1.57)","(-2.24, -0.2)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.22, -0.1)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.23, -0.11)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.22, -0.18)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.19, -0.18)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.07, -0.16)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.21, -0.18)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.08, -0.26)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.19, -0.1)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.08, -0.07)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.06, -0.18)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.09, -0.13)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.11, -0.23)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.12, -0.08)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.09, -0.23)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.1, -0.18)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.1, -0.22)","(-2.15, -0.17)"
"(-1.22, -1.57)","(-2.12, -0.07)","(-2.15, -0.17)"
"(-0.95, -1.75)","(-2.22, 0.26)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.07, 0.26)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.11, 0.14)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.06, 0.26)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.22, 0.12)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.18, 0.1)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.1, 0.2)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.23, 0.16)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.2, 0.07)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.19, 0.11)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.06, 0.21)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.09, 0.26)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.18, 0.07)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.12, 0.15)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.15, 0.08)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.13, 0.2)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.17, 0.17)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.07, 0.13)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.06, 0.25)","(-2.15, 0.17)"
"(-0.95, -1.75)","(-2.21, 0.22)","(-2.15, 0.17)"
"(-0.63, -1.83)","(-2.21, 0.42)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.06, 0.41)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.25, 0.55)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.23, 0.43)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.08, 0.44)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.14, 0.59)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.14, 0.51)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.16, 0.4)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.11, 0.48)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.12, 0.46)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.16, 0.55)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.12, 0.42)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.19, 0.49)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.07, 0.45)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.09, 0.53)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.09, 0.59)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.14, 0.46)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.17, 0.59)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.2, 0.43)","(-2.15, 0.5)"
"(-0.63, -1.83)","(-2.08, 0.49)","(-2.15, 0.5)"
"(-0.3, -1.81)","(-2.07, 0.82)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.23, 0.92)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.09, 0.82)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.18, 0.85)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.2, 0.74)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.07, 0.85)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.22, 0.73)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.24, 0.89)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.22, 0.88)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.08, 0.87)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.1, 0.77)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.07, 0.75)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.05, 0.83)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.18, 0.75)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.24, 0.75)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.22, 0.74)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.18, 0.81)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.16, 0.76)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.05, 0.93)","(-2.15, 0.83)"
"(-0.3, -1.81)","(-2.22, 0.82)","(-2.15, 0.83)"
"(0.0, -1.67)","(-2.08, 1.25)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.2, 1.24)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.16, 1.23)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.1, 1.13)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.19, 1.11)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.13, 1.12)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.17, 1.25)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.07, 1.18)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.08, 1.2)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.14, 1.12)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.19, 1.17)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.1, 1.22)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.17, 1.11)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.24, 1.24)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.14, 1.12)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.18, 1.19)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.05, 1.19)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.14, 1.06)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.09, 1.15)","(-2.15, 1.16)"
"(0.0, -1.67)","(-2.25, 1.1)","(-2.15, 1.16)"
"(0.24, -1.45)","(-2.08, 1.53)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.08, 1.44)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.07, 1.47)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.13, 1.4)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.08, 1.49)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.14, 1.49)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.11, 1.47)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.18, 1.45)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.25, 1.54)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.07, 1.51)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.18, 1.41)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.12, 1.43)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.23, 1.56)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.15, 1.47)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.07, 1.46)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.15, 1.54)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.2, 1.46)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.24, 1.47)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.19, 1.46)","(-2.15, 1.49)"
"(0.24, -1.45)","(-2.19, 1.44)","(-2.15, 1.49)"
"(0.4, -1.16)","(-2.11, 1.74)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.16, 1.88)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.18, 1.77)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.14, 1.77)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.1, 1.89)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.19, 1.75)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.13, 1.83)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.16, 1.81)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.17, 1.89)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.1, 1.86)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.15, 1.78)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.21, 1.78)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.1, 1.83)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.08, 1.81)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.18, 1.83)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.06, 1.82)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.13, 1.91)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.09, 1.86)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.12, 1.72)","(-2.15, 1.82)"
"(0.4, -1.16)","(-2.11, 1.86)","(-2.15, 1.82)"
"(0.45, -0.84)","(-2.21, 2.06)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.1, 2.06)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.07, 2.08)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.09, 2.23)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.13, 2.15)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.21, 2.15)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.14, 2.07)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.19, 2.2)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.14, 2.07)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.07, 2.08)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.23, 2.17)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.05, 2.23)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.15, 2.2)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.24, 2.11)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.07, 2.21)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.15, 2.23)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.14, 2.08)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.14, 2.2)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.1, 2.05)","(-2.15, 2.15)"
"(0.45, -0.84)","(-2.14, 2.22)","(-2.15, 2.15)"
"(0.4, -0.51)","(-2.17, 2.46)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.1, 2.57)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.08, 2.5)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.09, 2.52)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.05, 2.57)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.15, 2.56)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.06, 2.47)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.25, 2.43)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.11, 2.56)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.2, 2.42)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.15, 2.55)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.25, 2.45)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.14, 2.52)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.24, 2.47)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.13, 2.38)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.18, 2.5)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.15, 2.4)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.06, 2.53)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.2, 2.51)","(-2.15, 2.48)"
"(0.4, -0.51)","(-2.2, 2.56)","(-2.15, 2.48)"
"(0.24, -0.22)","(-2.17, 2.87)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.13, 2.79)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.08, 2.83)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.19, 2.75)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.12, 2.86)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.14, 2.75)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.14, 2.81)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.24, 2.8)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.16, 2.74)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.07, 2.77)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.06, 2.91)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.2, 2.87)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.09, 2.79)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.18, 2.84)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.21, 2.84)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.07, 2.78)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.23, 2.83)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.1, 2.77)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.11, 2.76)","(-2.15, 2.81)"
"(0.24, -0.22)","(-2.22, 2.79)","(-2.15, 2.81)"
"(0.0, 0.0)","(-2.12, 3.05)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.23, 3.05)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.18, 3.23)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.08, 3.16)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.22, 3.17)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.16, 3.05)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.23, 3.15)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.2, 3.22)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.08, 3.13)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.14, 3.22)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.12, 3.11)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.17, 3.18)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.05, 3.11)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.17, 3.08)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.21, 3.11)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.1, 3.24)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.09, 3.17)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.25, 3.06)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.15, 3.22)","(-2.15, 3.14)"
"(0.0, 0.0)","(-2.21, 3.12)","(-2.15, 3.14)"
"(-0.0, 0.0)","(-1.73, -3.04)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.88, -3.19)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.91, -3.11)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.81, -3.13)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.76, -3.05)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.79, -3.22)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.77, -3.05)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.85, -3.16)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.84, -3.05)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.75, -3.04)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.91, -3.07)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.73, -3.09)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.76, -3.09)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.75, -3.17)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.85, -3.14)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.92, -3.1)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.87, -3.21)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.91, -3.22)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.74, -3.1)","(-1.82, -3.14)"
"(-0.0, 0.0)","(-1.85, -3.15)","(-1.82, -3.14)"
"(-0.33, 0.03)","(-1.74, -2.84)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.75, -2.82)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.78, -2.85)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.78, -2.82)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.82, -2.79)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.91, -2.78)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.92, -2.84)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.89, -2.72)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.79, -2.89)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.88, -2.8)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.82, -2.78)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.87, -2.82)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.8, -2.75)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.83, -2.75)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.8, -2.87)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.89, -2.71)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.81, -2.78)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.78, -2.79)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.82, -2.74)","(-1.82, -2.81)"
"(-0.33, 0.03)","(-1.74, -2.72)","(-1.82, -2.81)"
"(-0.65, -0.05)","(-1.82, -2.48)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.88, -2.54)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.77, -2.46)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.74, -2.4)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.8, -2.58)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.75, -2.47)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.85, -2.52)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.87, -2.55)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.81, -2.54)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.78, -2.43)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.88, -2.41)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.81, -2.42)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.88, -2.47)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.79, -2.52)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.84, -2.53)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.79, -2.55)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.79, -2.57)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.84, -2.5)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.86, -2.53)","(-1.82, -2.48)"
"(-0.65, -0.05)","(-1.8, -2.55)","(-1.82, -2.48)"
"(-0.92, -0.23)","(-1.75, -2.19)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.92, -2.24)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.89, -2.11)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.85, -2.21)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.8, -2.1)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.74, -2.19)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.73, -2.07)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.74, -2.2)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.82, -2.16)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.72, -2.14)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.83, -2.21)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.8, -2.23)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.79, -2.05)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.78, -2.25)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.81, -2.15)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.83, -2.06)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.78, -2.22)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.83, -2.2)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.79, -2.09)","(-1.82, -2.15)"
"(-0.92, -0.23)","(-1.92, -2.1)","(-1.82, -2.15)"
"(-1.12, -0.49)","(-1.91, -1.73)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.8, -1.87)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.83, -1.9)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.78, -1.87)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.78, -1.8)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.78, -1.82)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.75, -1.74)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.72, -1.82)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.79, -1.79)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.83, -1.8)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.75, -1.72)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.88, -1.82)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.72, -1.77)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.84, -1.73)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.88, -1.74)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.9, -1.78)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.77, -1.82)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.84, -1.91)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.87, -1.74)","(-1.82, -1.82)"
"(-1.12, -0.49)","(-1.73, -1.81)","(-1.82, -1.82)"
"(-1.23, -0.8)","(-1.86, -1.49)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.91, -1.46)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.77, -1.57)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.9, -1.57)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.78, -1.48)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.78, -1.46)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.73, -1.49)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.91, -1.53)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.73, -1.46)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.91, -1.39)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.79, -1.53)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.85, -1.4)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.72, -1.48)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.77, -1.58)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.88, -1.53)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.82, -1.43)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.79, -1.4)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.85, -1.54)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.72, -1.55)","(-1.82, -1.49)"
"(-1.23, -0.8)","(-1.75, -1.43)","(-1.82, -1.49)"
"(-1.23, -1.13)","(-1.78, -1.09)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.77, -1.25)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.87, -1.09)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.85, -1.23)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.82, -1.23)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.75, -1.26)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.86, -1.18)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.86, -1.23)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.72, -1.17)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.85, -1.17)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.72, -1.06)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.77, -1.09)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.86, -1.17)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.84, -1.13)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.9, -1.09)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.82, -1.19)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.79, -1.08)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.87, -1.17)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.9, -1.11)","(-1.82, -1.16)"
"(-1.23, -1.13)","(-1.78, -1.24)","(-1.82, -1.16)"
"(-1.12, -1.45)","(-1.86, -0.79)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.84, -0.78)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.75, -0.86)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.88, -0.81)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.75, -0.74)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.76, -0.77)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.84, -0.82)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.77, -0.91)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.72, -0.84)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.91, -0.77)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.76, -0.74)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.74, -0.8)","(-1.82, -0.83)"
"(-1.12, -1.45)","(-1.79, -0.79)","(-1.82, -0.83)"
